Date,Work(s),Kind,Seasonal arc,Anchor,Reason
2026-09-08,Titus Andronicus,Play,Turning autumn,Martial blood season,"The bloodiest Roman play is reserved for the turn toward autumn, when the year first begins to redden."
2026-09-09,Titus Andronicus,Play,Turning autumn,Martial blood season,"The bloodiest Roman play is reserved for the turn toward autumn, when the year first begins to redden."
2026-09-10,Titus Andronicus,Play,Turning autumn,Martial blood season,"The bloodiest Roman play is reserved for the turn toward autumn, when the year first begins to redden."
2026-09-11,Titus Andronicus,Play,Turning autumn,Martial blood season,"The bloodiest Roman play is reserved for the turn toward autumn, when the year first begins to redden."
2026-09-12,Titus Andronicus,Play,Turning autumn,Martial blood season,"The bloodiest Roman play is reserved for the turn toward autumn, when the year first begins to redden."
2026-09-13,Titus Andronicus,Play,Turning autumn,Martial blood season,"The bloodiest Roman play is reserved for the turn toward autumn, when the year first begins to redden."
2026-09-14,Titus Andronicus,Play,Turning autumn,Martial blood season,"The bloodiest Roman play is reserved for the turn toward autumn, when the year first begins to redden."
2026-09-15,Sonnets 29-56,Poems,Late summer lyric,Ripeness,"These sonnets carry beauty and value under the pressure of ripeness, fame, and summer's passing."
2026-09-16,Sonnets 29-56,Poems,Late summer lyric,Ripeness,"These sonnets carry beauty and value under the pressure of ripeness, fame, and summer's passing."
2026-09-17,Sonnets 29-56,Poems,Late summer lyric,Ripeness,"These sonnets carry beauty and value under the pressure of ripeness, fame, and summer's passing."
2026-09-18,Sonnets 29-56,Poems,Late summer lyric,Ripeness,"These sonnets carry beauty and value under the pressure of ripeness, fame, and summer's passing."
2026-09-19,Sonnets 29-56,Poems,Late summer lyric,Ripeness,"These sonnets carry beauty and value under the pressure of ripeness, fame, and summer's passing."
2026-09-20,Sonnets 29-56,Poems,Late summer lyric,Ripeness,"These sonnets carry beauty and value under the pressure of ripeness, fame, and summer's passing."
2026-09-21,Sonnets 29-56,Poems,Late summer lyric,Ripeness,"These sonnets carry beauty and value under the pressure of ripeness, fame, and summer's passing."
2026-09-22,Sonnets 29-56,Poems,Late summer lyric,Ripeness,"These sonnets carry beauty and value under the pressure of ripeness, fame, and summer's passing."
2026-09-23,Sonnets 29-56,Poems,Late summer lyric,Ripeness,"These sonnets carry beauty and value under the pressure of ripeness, fame, and summer's passing."
2026-09-24,Sonnets 57-77,Poems,Late summer lyric,Absence and decline,"A bridge from late summer into autumn: absence, service, clocks, mirrors, and encroaching time."
2026-09-25,Sonnets 57-77,Poems,Late summer lyric,Absence and decline,"A bridge from late summer into autumn: absence, service, clocks, mirrors, and encroaching time."
2026-09-26,Sonnets 57-77,Poems,Late summer lyric,Absence and decline,"A bridge from late summer into autumn: absence, service, clocks, mirrors, and encroaching time."
2026-09-27,Sonnets 57-77,Poems,Late summer lyric,Absence and decline,"A bridge from late summer into autumn: absence, service, clocks, mirrors, and encroaching time."
2026-09-28,Sonnets 57-77,Poems,Late summer lyric,Absence and decline,"A bridge from late summer into autumn: absence, service, clocks, mirrors, and encroaching time."
2026-09-29,Sonnets 57-77,Poems,Late summer lyric,Absence and decline,"A bridge from late summer into autumn: absence, service, clocks, mirrors, and encroaching time."
2026-09-30,Sonnets 57-77,Poems,Late summer lyric,Absence and decline,"A bridge from late summer into autumn: absence, service, clocks, mirrors, and encroaching time."
2026-10-01,Sonnets 57-77,Poems,Late summer lyric,Absence and decline,"A bridge from late summer into autumn: absence, service, clocks, mirrors, and encroaching time."
2026-10-02,Sonnets 57-77,Poems,Late summer lyric,Absence and decline,"A bridge from late summer into autumn: absence, service, clocks, mirrors, and encroaching time."
2026-10-03,King John,Play,History cycle,Regnal order begins,"The history sequence begins here, in the order of England's actual reigns."
2026-10-04,King John,Play,History cycle,Regnal order begins,"The history sequence begins here, in the order of England's actual reigns."
2026-10-05,King John,Play,History cycle,Regnal order begins,"The history sequence begins here, in the order of England's actual reigns."
2026-10-06,King John,Play,History cycle,Regnal order begins,"The history sequence begins here, in the order of England's actual reigns."
2026-10-07,King John,Play,History cycle,Regnal order begins,"The history sequence begins here, in the order of England's actual reigns."
2026-10-08,Richard II,Play,History cycle,After King John,Kept directly after King John to preserve the regnal movement toward Bolingbroke and deposition.
2026-10-09,Richard II,Play,History cycle,After King John,Kept directly after King John to preserve the regnal movement toward Bolingbroke and deposition.
2026-10-10,Richard II,Play,History cycle,After King John,Kept directly after King John to preserve the regnal movement toward Bolingbroke and deposition.
2026-10-11,Richard II,Play,History cycle,After King John,Kept directly after King John to preserve the regnal movement toward Bolingbroke and deposition.
2026-10-12,Richard II,Play,History cycle,After King John,Kept directly after King John to preserve the regnal movement toward Bolingbroke and deposition.
2026-10-13,"Henry IV, Part 1",Play,History cycle,Hal under Henry IV,"The next reign follows without interruption, preserving Shakespeare's dynastic arc."
2026-10-14,"Henry IV, Part 1",Play,History cycle,Hal under Henry IV,"The next reign follows without interruption, preserving Shakespeare's dynastic arc."
2026-10-15,"Henry IV, Part 1",Play,History cycle,Hal under Henry IV,"The next reign follows without interruption, preserving Shakespeare's dynastic arc."
2026-10-16,"Henry IV, Part 1",Play,History cycle,Hal under Henry IV,"The next reign follows without interruption, preserving Shakespeare's dynastic arc."
2026-10-17,"Henry IV, Part 1",Play,History cycle,Hal under Henry IV,"The next reign follows without interruption, preserving Shakespeare's dynastic arc."
2026-10-18,"Henry IV, Part 2",Play,History cycle,Hal's preparation,Placed immediately after Part 1 so Hal's movement toward kingship is continuous.
2026-10-19,"Henry IV, Part 2",Play,History cycle,Hal's preparation,Placed immediately after Part 1 so Hal's movement toward kingship is continuous.
2026-10-20,"Henry IV, Part 2",Play,History cycle,Hal's preparation,Placed immediately after Part 1 so Hal's movement toward kingship is continuous.
2026-10-21,"Henry IV, Part 2",Play,History cycle,Hal's preparation,Placed immediately after Part 1 so Hal's movement toward kingship is continuous.
2026-10-22,"Henry IV, Part 2",Play,History cycle,Hal's preparation,Placed immediately after Part 1 so Hal's movement toward kingship is continuous.
2026-10-23,Henry V,Play,History cycle,St Crispin's Day,Anchored so October 25 falls inside the reading window: 'This day is called the feast of Crispian.'
2026-10-24,Henry V,Play,History cycle,St Crispin's Day,Anchored so October 25 falls inside the reading window: 'This day is called the feast of Crispian.'
2026-10-25,Henry V,Play,History cycle,St Crispin's Day,Anchored so October 25 falls inside the reading window: 'This day is called the feast of Crispian.'
2026-10-26,Henry V,Play,History cycle,St Crispin's Day,Anchored so October 25 falls inside the reading window: 'This day is called the feast of Crispian.'
2026-10-27,Henry V,Play,History cycle,St Crispin's Day,Anchored so October 25 falls inside the reading window: 'This day is called the feast of Crispian.'
2026-10-28,"Henry VI, Part 1",Play,History cycle,After Henry V,The regnal sequence continues straight into the minority and losses of Henry VI.
2026-10-29,"Henry VI, Part 1",Play,History cycle,After Henry V,The regnal sequence continues straight into the minority and losses of Henry VI.
2026-10-30,"Henry VI, Part 1",Play,History cycle,After Henry V,The regnal sequence continues straight into the minority and losses of Henry VI.
2026-10-31,"Henry VI, Part 1",Play,History cycle,After Henry V,The regnal sequence continues straight into the minority and losses of Henry VI.
2026-11-01,"Henry VI, Part 1",Play,History cycle,After Henry V,The regnal sequence continues straight into the minority and losses of Henry VI.
2026-11-02,"Henry VI, Part 2",Play,History cycle,Wars of the Roses open,Held in place after Part 1 to keep the dynastic fracture intelligible.
2026-11-03,"Henry VI, Part 2",Play,History cycle,Wars of the Roses open,Held in place after Part 1 to keep the dynastic fracture intelligible.
2026-11-04,"Henry VI, Part 2",Play,History cycle,Wars of the Roses open,Held in place after Part 1 to keep the dynastic fracture intelligible.
2026-11-05,"Henry VI, Part 2",Play,History cycle,Wars of the Roses open,Held in place after Part 1 to keep the dynastic fracture intelligible.
2026-11-06,"Henry VI, Part 2",Play,History cycle,Wars of the Roses open,Held in place after Part 1 to keep the dynastic fracture intelligible.
2026-11-07,"Henry VI, Part 3",Play,History cycle,Civil war deepens,The civil-war movement continues without breaking the chronological line of kings.
2026-11-08,"Henry VI, Part 3",Play,History cycle,Civil war deepens,The civil-war movement continues without breaking the chronological line of kings.
2026-11-09,"Henry VI, Part 3",Play,History cycle,Civil war deepens,The civil-war movement continues without breaking the chronological line of kings.
2026-11-10,"Henry VI, Part 3",Play,History cycle,Civil war deepens,The civil-war movement continues without breaking the chronological line of kings.
2026-11-11,"Henry VI, Part 3",Play,History cycle,Civil war deepens,The civil-war movement continues without breaking the chronological line of kings.
2026-11-12,Richard III,Play,History cycle,Yorkist climax,Read directly after Henry VI to preserve the rise and fall of Gloucester in proper order.
2026-11-13,Richard III,Play,History cycle,Yorkist climax,Read directly after Henry VI to preserve the rise and fall of Gloucester in proper order.
2026-11-14,Richard III,Play,History cycle,Yorkist climax,Read directly after Henry VI to preserve the rise and fall of Gloucester in proper order.
2026-11-15,Richard III,Play,History cycle,Yorkist climax,Read directly after Henry VI to preserve the rise and fall of Gloucester in proper order.
2026-11-16,Richard III,Play,History cycle,Yorkist climax,Read directly after Henry VI to preserve the rise and fall of Gloucester in proper order.
2026-11-17,Henry VIII,Play,History cycle,Tudor close,"The history cycle ends at the Tudor court, completing the reign-by-reign sequence."
2026-11-18,Henry VIII,Play,History cycle,Tudor close,"The history cycle ends at the Tudor court, completing the reign-by-reign sequence."
2026-11-19,Henry VIII,Play,History cycle,Tudor close,"The history cycle ends at the Tudor court, completing the reign-by-reign sequence."
2026-11-20,Henry VIII,Play,History cycle,Tudor close,"The history cycle ends at the Tudor court, completing the reign-by-reign sequence."
2026-11-21,Henry VIII,Play,History cycle,Tudor close,"The history cycle ends at the Tudor court, completing the reign-by-reign sequence."
2026-11-22,Macbeth,Play,Darkening year,Black season,"Set in the dark quarter of the year, when the play's night-work, blood, and witchcraft feel seasonally true."
2026-11-23,Macbeth,Play,Darkening year,Black season,"Set in the dark quarter of the year, when the play's night-work, blood, and witchcraft feel seasonally true."
2026-11-24,Macbeth,Play,Darkening year,Black season,"Set in the dark quarter of the year, when the play's night-work, blood, and witchcraft feel seasonally true."
2026-11-25,Macbeth,Play,Darkening year,Black season,"Set in the dark quarter of the year, when the play's night-work, blood, and witchcraft feel seasonally true."
2026-11-26,Macbeth,Play,Darkening year,Black season,"Set in the dark quarter of the year, when the play's night-work, blood, and witchcraft feel seasonally true."
2026-11-27,Sonnets 78-105,Poems,Autumn lyric,Public voice and praise,"These sonnets of rivalry, praise, and memory belong to political autumn, after the crowns and battles."
2026-11-28,Sonnets 78-105,Poems,Autumn lyric,Public voice and praise,"These sonnets of rivalry, praise, and memory belong to political autumn, after the crowns and battles."
2026-11-29,Sonnets 78-105,Poems,Autumn lyric,Public voice and praise,"These sonnets of rivalry, praise, and memory belong to political autumn, after the crowns and battles."
2026-11-30,Sonnets 78-105,Poems,Autumn lyric,Public voice and praise,"These sonnets of rivalry, praise, and memory belong to political autumn, after the crowns and battles."
2026-12-01,Sonnets 78-105,Poems,Autumn lyric,Public voice and praise,"These sonnets of rivalry, praise, and memory belong to political autumn, after the crowns and battles."
2026-12-02,Sonnets 78-105,Poems,Autumn lyric,Public voice and praise,"These sonnets of rivalry, praise, and memory belong to political autumn, after the crowns and battles."
2026-12-03,Sonnets 78-105,Poems,Autumn lyric,Public voice and praise,"These sonnets of rivalry, praise, and memory belong to political autumn, after the crowns and battles."
2026-12-04,Sonnets 78-105,Poems,Autumn lyric,Public voice and praise,"These sonnets of rivalry, praise, and memory belong to political autumn, after the crowns and battles."
2026-12-05,Sonnets 78-105,Poems,Autumn lyric,Public voice and praise,"These sonnets of rivalry, praise, and memory belong to political autumn, after the crowns and battles."
2026-12-06,Sonnets 106-126,Poems,Year-end lyric,Time and inheritance,"A year-end cluster of inheritance, time, monuments, and threatened loss."
2026-12-07,Sonnets 106-126,Poems,Year-end lyric,Time and inheritance,"A year-end cluster of inheritance, time, monuments, and threatened loss."
2026-12-08,Sonnets 106-126,Poems,Year-end lyric,Time and inheritance,"A year-end cluster of inheritance, time, monuments, and threatened loss."
2026-12-09,Sonnets 106-126,Poems,Year-end lyric,Time and inheritance,"A year-end cluster of inheritance, time, monuments, and threatened loss."
2026-12-10,Sonnets 106-126,Poems,Year-end lyric,Time and inheritance,"A year-end cluster of inheritance, time, monuments, and threatened loss."
2026-12-11,Sonnets 106-126,Poems,Year-end lyric,Time and inheritance,"A year-end cluster of inheritance, time, monuments, and threatened loss."
2026-12-12,Sonnets 106-126,Poems,Year-end lyric,Time and inheritance,"A year-end cluster of inheritance, time, monuments, and threatened loss."
2026-12-13,Sonnets 106-126,Poems,Year-end lyric,Time and inheritance,"A year-end cluster of inheritance, time, monuments, and threatened loss."
2026-12-14,Hamlet,Play,Advent darkness,Ghost and inward cold,"Placed in the dark days before Christmas: watchfulness, ghostly return, rot, and inward winter."
2026-12-15,Hamlet,Play,Advent darkness,Ghost and inward cold,"Placed in the dark days before Christmas: watchfulness, ghostly return, rot, and inward winter."
2026-12-16,Hamlet,Play,Advent darkness,Ghost and inward cold,"Placed in the dark days before Christmas: watchfulness, ghostly return, rot, and inward winter."
2026-12-17,Hamlet,Play,Advent darkness,Ghost and inward cold,"Placed in the dark days before Christmas: watchfulness, ghostly return, rot, and inward winter."
2026-12-18,Hamlet,Play,Advent darkness,Ghost and inward cold,"Placed in the dark days before Christmas: watchfulness, ghostly return, rot, and inward winter."
2026-12-19,Hamlet,Play,Advent darkness,Ghost and inward cold,"Placed in the dark days before Christmas: watchfulness, ghostly return, rot, and inward winter."
2026-12-20,Hamlet,Play,Advent darkness,Ghost and inward cold,"Placed in the dark days before Christmas: watchfulness, ghostly return, rot, and inward winter."
2026-12-21,Hamlet,Play,Advent darkness,Ghost and inward cold,"Placed in the dark days before Christmas: watchfulness, ghostly return, rot, and inward winter."
2026-12-22,Hamlet,Play,Advent darkness,Ghost and inward cold,"Placed in the dark days before Christmas: watchfulness, ghostly return, rot, and inward winter."
2026-12-23,Hamlet,Play,Advent darkness,Ghost and inward cold,"Placed in the dark days before Christmas: watchfulness, ghostly return, rot, and inward winter."
2026-12-24,Hamlet,Play,Advent darkness,Ghost and inward cold,"Placed in the dark days before Christmas: watchfulness, ghostly return, rot, and inward winter."
2026-12-25,Hamlet,Play,Advent darkness,Ghost and inward cold,"Placed in the dark days before Christmas: watchfulness, ghostly return, rot, and inward winter."
2026-12-26,Twelfth Night,Play,Christmas season,Dec 26-Jan 6,"Spans the Twelve Days of Christmas, from December 26 through Epiphany eve and day."
2026-12-27,Twelfth Night,Play,Christmas season,Dec 26-Jan 6,"Spans the Twelve Days of Christmas, from December 26 through Epiphany eve and day."
2026-12-28,Twelfth Night,Play,Christmas season,Dec 26-Jan 6,"Spans the Twelve Days of Christmas, from December 26 through Epiphany eve and day."
2026-12-29,Twelfth Night,Play,Christmas season,Dec 26-Jan 6,"Spans the Twelve Days of Christmas, from December 26 through Epiphany eve and day."
2026-12-30,Twelfth Night,Play,Christmas season,Dec 26-Jan 6,"Spans the Twelve Days of Christmas, from December 26 through Epiphany eve and day."
2026-12-31,Twelfth Night,Play,Christmas season,Dec 26-Jan 6,"Spans the Twelve Days of Christmas, from December 26 through Epiphany eve and day."
2027-01-01,Twelfth Night,Play,Christmas season,Dec 26-Jan 6,"Spans the Twelve Days of Christmas, from December 26 through Epiphany eve and day."
2027-01-02,Twelfth Night,Play,Christmas season,Dec 26-Jan 6,"Spans the Twelve Days of Christmas, from December 26 through Epiphany eve and day."
2027-01-03,Twelfth Night,Play,Christmas season,Dec 26-Jan 6,"Spans the Twelve Days of Christmas, from December 26 through Epiphany eve and day."
2027-01-04,Twelfth Night,Play,Christmas season,Dec 26-Jan 6,"Spans the Twelve Days of Christmas, from December 26 through Epiphany eve and day."
2027-01-05,Twelfth Night,Play,Christmas season,Dec 26-Jan 6,"Spans the Twelve Days of Christmas, from December 26 through Epiphany eve and day."
2027-01-06,Twelfth Night,Play,Christmas season,Dec 26-Jan 6,"Spans the Twelve Days of Christmas, from December 26 through Epiphany eve and day."
2027-01-07,King Lear,Play,Deep winter,Storm and stripped nature,"Read at the year's coldest moral and meteorological point: storm, age, exposure, and filial ingratitude."
2027-01-08,King Lear,Play,Deep winter,Storm and stripped nature,"Read at the year's coldest moral and meteorological point: storm, age, exposure, and filial ingratitude."
2027-01-09,King Lear,Play,Deep winter,Storm and stripped nature,"Read at the year's coldest moral and meteorological point: storm, age, exposure, and filial ingratitude."
2027-01-10,King Lear,Play,Deep winter,Storm and stripped nature,"Read at the year's coldest moral and meteorological point: storm, age, exposure, and filial ingratitude."
2027-01-11,King Lear,Play,Deep winter,Storm and stripped nature,"Read at the year's coldest moral and meteorological point: storm, age, exposure, and filial ingratitude."
2027-01-12,King Lear,Play,Deep winter,Storm and stripped nature,"Read at the year's coldest moral and meteorological point: storm, age, exposure, and filial ingratitude."
2027-01-13,King Lear,Play,Deep winter,Storm and stripped nature,"Read at the year's coldest moral and meteorological point: storm, age, exposure, and filial ingratitude."
2027-01-14,King Lear,Play,Deep winter,Storm and stripped nature,"Read at the year's coldest moral and meteorological point: storm, age, exposure, and filial ingratitude."
2027-01-15,King Lear,Play,Deep winter,Storm and stripped nature,"Read at the year's coldest moral and meteorological point: storm, age, exposure, and filial ingratitude."
2027-01-16,King Lear,Play,Deep winter,Storm and stripped nature,"Read at the year's coldest moral and meteorological point: storm, age, exposure, and filial ingratitude."
2027-01-17,King Lear,Play,Deep winter,Storm and stripped nature,"Read at the year's coldest moral and meteorological point: storm, age, exposure, and filial ingratitude."
2027-01-18,King Lear,Play,Deep winter,Storm and stripped nature,"Read at the year's coldest moral and meteorological point: storm, age, exposure, and filial ingratitude."
2027-01-19,The Winter's Tale,Play,Deep winter,Literal winter play,A literal winter title and a drama of loss before rebirth: it belongs in the cold stretch after Lear.
2027-01-20,The Winter's Tale,Play,Deep winter,Literal winter play,A literal winter title and a drama of loss before rebirth: it belongs in the cold stretch after Lear.
2027-01-21,The Winter's Tale,Play,Deep winter,Literal winter play,A literal winter title and a drama of loss before rebirth: it belongs in the cold stretch after Lear.
2027-01-22,The Winter's Tale,Play,Deep winter,Literal winter play,A literal winter title and a drama of loss before rebirth: it belongs in the cold stretch after Lear.
2027-01-23,The Winter's Tale,Play,Deep winter,Literal winter play,A literal winter title and a drama of loss before rebirth: it belongs in the cold stretch after Lear.
2027-01-24,The Winter's Tale,Play,Deep winter,Literal winter play,A literal winter title and a drama of loss before rebirth: it belongs in the cold stretch after Lear.
2027-01-25,The Winter's Tale,Play,Deep winter,Literal winter play,A literal winter title and a drama of loss before rebirth: it belongs in the cold stretch after Lear.
2027-01-26,The Winter's Tale,Play,Deep winter,Literal winter play,A literal winter title and a drama of loss before rebirth: it belongs in the cold stretch after Lear.
2027-01-27,Cymbeline,Play,Late winter,Britain and restoration,Its dark British landscape and improbable restorations suit the hard end of winter before release.
2027-01-28,Cymbeline,Play,Late winter,Britain and restoration,Its dark British landscape and improbable restorations suit the hard end of winter before release.
2027-01-29,Cymbeline,Play,Late winter,Britain and restoration,Its dark British landscape and improbable restorations suit the hard end of winter before release.
2027-01-30,Cymbeline,Play,Late winter,Britain and restoration,Its dark British landscape and improbable restorations suit the hard end of winter before release.
2027-01-31,Cymbeline,Play,Late winter,Britain and restoration,Its dark British landscape and improbable restorations suit the hard end of winter before release.
2027-02-01,Cymbeline,Play,Late winter,Britain and restoration,Its dark British landscape and improbable restorations suit the hard end of winter before release.
2027-02-02,Cymbeline,Play,Late winter,Britain and restoration,Its dark British landscape and improbable restorations suit the hard end of winter before release.
2027-02-03,Cymbeline,Play,Late winter,Britain and restoration,Its dark British landscape and improbable restorations suit the hard end of winter before release.
2027-02-04,Cymbeline,Play,Late winter,Britain and restoration,Its dark British landscape and improbable restorations suit the hard end of winter before release.
2027-02-05,Cymbeline,Play,Late winter,Britain and restoration,Its dark British landscape and improbable restorations suit the hard end of winter before release.
2027-02-06,Cymbeline,Play,Late winter,Britain and restoration,Its dark British landscape and improbable restorations suit the hard end of winter before release.
2027-02-07,Sonnets 127-140,Poems,Late winter lyric,Dark lady opens,"The dark-lady turn belongs to late winter: desire under cloud, suspicion, and moral weather gone sour."
2027-02-08,Sonnets 127-140,Poems,Late winter lyric,Dark lady opens,"The dark-lady turn belongs to late winter: desire under cloud, suspicion, and moral weather gone sour."
2027-02-09,Sonnets 127-140,Poems,Late winter lyric,Dark lady opens,"The dark-lady turn belongs to late winter: desire under cloud, suspicion, and moral weather gone sour."
2027-02-10,Sonnets 127-140,Poems,Late winter lyric,Dark lady opens,"The dark-lady turn belongs to late winter: desire under cloud, suspicion, and moral weather gone sour."
2027-02-11,Sonnets 127-140,Poems,Late winter lyric,Dark lady opens,"The dark-lady turn belongs to late winter: desire under cloud, suspicion, and moral weather gone sour."
2027-02-12,Sonnets 127-140,Poems,Late winter lyric,Dark lady opens,"The dark-lady turn belongs to late winter: desire under cloud, suspicion, and moral weather gone sour."
2027-02-13,Sonnets 141-154,Poems,Late winter lyric,Fever and exhaustion,"A final sequence of desire, illness, and spent appetite as the reading year approaches its end."
2027-02-14,Sonnets 141-154,Poems,Late winter lyric,Fever and exhaustion,"A final sequence of desire, illness, and spent appetite as the reading year approaches its end."
2027-02-15,Sonnets 141-154,Poems,Late winter lyric,Fever and exhaustion,"A final sequence of desire, illness, and spent appetite as the reading year approaches its end."
2027-02-16,Sonnets 141-154,Poems,Late winter lyric,Fever and exhaustion,"A final sequence of desire, illness, and spent appetite as the reading year approaches its end."
2027-02-17,Sonnets 141-154,Poems,Late winter lyric,Fever and exhaustion,"A final sequence of desire, illness, and spent appetite as the reading year approaches its end."
2027-02-18,Sonnets 141-154,Poems,Late winter lyric,Fever and exhaustion,"A final sequence of desire, illness, and spent appetite as the reading year approaches its end."
2027-02-19,A Lover's Complaint,Poem,Late winter lyric,Coda to the Sonnets,Placed after the sonnets as their lamenting coda: a complaint poem at the year's worn edge.
2027-02-20,A Lover's Complaint,Poem,Late winter lyric,Coda to the Sonnets,Placed after the sonnets as their lamenting coda: a complaint poem at the year's worn edge.
2027-02-21,A Lover's Complaint,Poem,Late winter lyric,Coda to the Sonnets,Placed after the sonnets as their lamenting coda: a complaint poem at the year's worn edge.
2027-02-22,A Lover's Complaint,Poem,Late winter lyric,Coda to the Sonnets,Placed after the sonnets as their lamenting coda: a complaint poem at the year's worn edge.
2027-02-23,A Lover's Complaint,Poem,Late winter lyric,Coda to the Sonnets,Placed after the sonnets as their lamenting coda: a complaint poem at the year's worn edge.
2027-02-24,The Phoenix and the Turtle,Poem,Turn toward spring,Funeral into renewal,"A funeral lyric of perfect love and transfiguration, set where winter starts to yield toward renewal."
2027-02-25,The Phoenix and the Turtle,Poem,Turn toward spring,Funeral into renewal,"A funeral lyric of perfect love and transfiguration, set where winter starts to yield toward renewal."
2027-02-26,The Phoenix and the Turtle,Poem,Turn toward spring,Funeral into renewal,"A funeral lyric of perfect love and transfiguration, set where winter starts to yield toward renewal."
2027-02-27,The Phoenix and the Turtle,Poem,Turn toward spring,Funeral into renewal,"A funeral lyric of perfect love and transfiguration, set where winter starts to yield toward renewal."
2027-02-28,The Tempest,Play,Year's valediction,Renunciation,"Reserved for the close of the cycle: shipwreck, art, forgiveness, and Prospero's renunciation make the best ending."
2027-03-01,The Tempest,Play,Year's valediction,Renunciation,"Reserved for the close of the cycle: shipwreck, art, forgiveness, and Prospero's renunciation make the best ending."
2027-03-02,The Tempest,Play,Year's valediction,Renunciation,"Reserved for the close of the cycle: shipwreck, art, forgiveness, and Prospero's renunciation make the best ending."
2027-03-03,The Tempest,Play,Year's valediction,Renunciation,"Reserved for the close of the cycle: shipwreck, art, forgiveness, and Prospero's renunciation make the best ending."
2027-03-04,The Tempest,Play,Year's valediction,Renunciation,"Reserved for the close of the cycle: shipwreck, art, forgiveness, and Prospero's renunciation make the best ending."
2027-03-05,The Tempest,Play,Year's valediction,Renunciation,"Reserved for the close of the cycle: shipwreck, art, forgiveness, and Prospero's renunciation make the best ending."
2027-03-06,The Tempest,Play,Year's valediction,Renunciation,"Reserved for the close of the cycle: shipwreck, art, forgiveness, and Prospero's renunciation make the best ending."
2027-03-07,The Tempest,Play,Year's valediction,Renunciation,"Reserved for the close of the cycle: shipwreck, art, forgiveness, and Prospero's renunciation make the best ending."
2027-03-08,The Tempest,Play,Year's valediction,Renunciation,"Reserved for the close of the cycle: shipwreck, art, forgiveness, and Prospero's renunciation make the best ending."
2027-03-09,The Tempest,Play,Year's valediction,Renunciation,"Reserved for the close of the cycle: shipwreck, art, forgiveness, and Prospero's renunciation make the best ending."
2027-03-10,The Tempest,Play,Year's valediction,Renunciation,"Reserved for the close of the cycle: shipwreck, art, forgiveness, and Prospero's renunciation make the best ending."
